City,State,Abbreviation,Area Codes,,,,,,
New York City,New York,NY,212,332,347,646,718,917,929
Los Angeles,California,CA,213,323,310,424,818,747,
Chicago,Illinois,IL,312,872,773,,,,
Houston,Texas,TX,713,281,832,346,,,
Philadelphia,Pennsylvania,PA,215,267,445,,,,
Phoenix,Arizona,AZ,480,602,623,,,,
San Antonio,Texas,TX,210,830,726,,,,
San Diego,California,CA,619,858,,,,,
Dallas,Texas,TX,214,269,972,682,,,
San Jose,California,CA,408,669,,,,,
Austin,Texas,TX,512,737,,,,,
Jacksonville,Florida,FL,904,,,,,,
San Francisco,California,CA,415,628,,,,,
Indianapolis,Indiana,IN,417,463,,,,,
Columbus,Ohio,OH,614,380,,,,,
Fort Worth,Texas,TX,682,817,,,,,
Charlotte,North Carolina,NC,704,980,,,,,
Seattle,Washington,WA,206,,,,,,
Denver,Colorado,CO,303,720,,,,,
El Paso,Texas,TX,915,,,,,,
